,CVX,MPC,PSX,XOM
2019-06-13,115.44793701171875,45.7409782409668,81.95117950439453,70.48565673828125
2019-06-14,115.35244750976562,45.79827117919922,82.28766632080078,70.17418670654297
2019-06-17,115.90625,46.514469146728516,82.59532928466797,70.87262725830078
2019-06-18,117.37667083740234,47.402549743652344,83.45098114013672,71.48612213134766
2019-06-19,117.33848571777344,47.42164993286133,84.22012329101562,71.08971405029297
2019-06-20,118.66569519042969,49.608428955078125,87.32550048828125,72.30725860595703
2019-06-21,119.28633117675781,50.28643035888672,87.08514404296875,73.32660675048828
2019-06-24,119.26722717285156,49.27420425415039,86.29678344726562,72.62816619873047
2019-06-25,118.05460357666016,49.073673248291016,86.36408233642578,71.98635864257812
2019-06-26,118.33150482177734,51.76656723022461,89.1810302734375,72.29782104492188
2019-06-27,117.54854583740234,51.91935348510742,88.20999908447266,71.5616226196289
2019-06-28,118.81847381591797,53.36129379272461,89.93093872070312,72.32613372802734
2019-07-01,119.20039367675781,52.63554763793945,90.43087005615234,72.26006317138672
2019-07-02,117.37667083740234,52.0339469909668,92.0268325805664,71.46724700927734
2019-07-03,117.77770233154297,51.871604919433594,93.27666473388672,72.14681243896484
2019-07-05,117.95912170410156,52.39681625366211,93.06515502929688,71.85421752929688
2019-07-08,118.01641082763672,51.89070510864258,93.21897888183594,72.1845703125
2019-07-09,117.77770233154297,52.177181243896484,93.94966125488281,72.13736724853516
2019-07-10,119.77330017089844,52.50185775756836,94.3246078491211,73.1567153930664
2019-07-11,119.76374816894531,52.94112014770508,95.74750518798828,73.21334838867188
2019-07-12,120.28890228271484,52.97932052612305,96.4589614868164,73.26998138427734
2019-07-15,120.04064178466797,52.35862350463867,97.11273193359375,72.75086212158203
2019-07-16,119.12400817871094,53.17030715942383,97.46844482421875,71.66545104980469
2019-07-17,118.53202056884766,51.862060546875,96.90120697021484,71.24073028564453
2019-07-18,119.04762268066406,52.8647346496582,97.98760223388672,70.63667297363281
2019-07-19,119.391357421875,52.75014114379883,98.02606964111328,70.77824401855469
2019-07-22,119.64915466308594,52.73104476928711,98.59330749511719,70.85374450683594
2019-07-23,120.13612365722656,53.19895553588867,98.37217712402344,71.13690948486328
2019-07-24,120.8236083984375,55.02286148071289,98.46832275390625,71.12747192382812
2019-07-25,119.95470428466797,53.953346252441406,97.65111541748047,70.72161865234375
2019-07-26,118.13099670410156,54.27802276611328,98.37217712402344,70.60836029052734
2019-07-29,118.61795806884766,53.6286735534668,98.84326934814453,71.10858917236328
2019-07-30,118.72298431396484,54.47855758666992,99.6124038696289,71.11802673339844
2019-07-31,117.54854583740234,53.848304748535156,98.60291290283203,70.18362426757812
2019-08-01,115.28561401367188,52.8647346496582,98.05490112304688,68.39035034179688
2019-08-02,115.27606201171875,51.203155517578125,95.68020629882812,67.72022247314453
2019-08-05,113.37596130371094,48.38612365722656,91.94990539550781,66.33277893066406
2019-08-06,113.98704528808594,47.35480499267578,93.65162658691406,66.9745864868164
2019-08-07,113.71969604492188,45.960609436035156,93.57470703125,66.54042053222656
